Charger Type,Charging End Time,Charging Start Time,City,Installation Date,Month,Operational Status,Payment Mode,Session ID,Station ID,Total Sessions,User ID,Vehicle Type,Average Energy Per Session,Billed Amount INR,Charging Duration min,Energy Delivered kWh,Latitude,Longitude,No of Ports,Power Rating kW,Year
AC Slow,08-04-2025 03:40,08-04-2025 02:13,Hyderabad,15-04-2023,April,Inactive,Wallet,SESS0071,STN191,SESS0071,USR1556,Bus,36.15,247.54,87,36.15,17.15818,72.894879,4,3.3,2025
AC Slow,03-06-2025 03:15,03-06-2025 02:16,Bangalore,03-05-2021,June,Inactive,Wallet,SESS0233,STN177,SESS0233,USR5444,4W,297.64,3039.27,59,297.64,18.156859,74.224709,6,3.3,2025
AC Fast,28-10-2025 07:31,28-10-2025 04:49,Pune,11-05-2023,October,Active,UPI,SESS0167,STN130,SESS0167,USR5830,4W,253.21,1855.32,162,253.21,17.72098,77.98651,3,3.3,2025
DC Fast,01-08-2025 16:08,01-08-2025 14:35,Delhi,18-09-2023,August,Active,Wallet,SESS0196,STN191,SESS0196,USR3840,4W,298.21,2790.47,93,298.21,17.029081,72.283715,2,50,2025
AC Fast,28-11-2025 07:26,28-11-2025 06:41,Pune,05-12-2021,November,Inactive,UPI,SESS0122,STN149,SESS0122,USR7645,2W,272.6,2201.48,45,272.6,17.496646,76.669371,4,120,2025
AC Fast,06-11-2025 10:36,06-11-2025 07:48,Pune,09-05-2023,November,Inactive,Net Banking,SESS0258,STN116,SESS0258,USR6569,4W,168.57,911.14,168,168.57,17.545155,72.383227,2,120,2025
AC Slow,14-10-2025 22:45,14-10-2025 20:21,Mumbai,06-01-2022,October,Active,Wallet,SESS0158,STN169,SESS0158,USR7723,4W,219.22,1077.22,144,219.22,18.026879,77.883503,4,7.4,2025
DC Fast,07-01-2025 01:58,06-01-2025 23:55,Hyderabad,25-08-2022,January,Inactive,Wallet,SESS0220,STN105,SESS0220,USR1455,2W,31.68,334.81,123,31.68,17.280962,73.106075,5,50,2025
AC Slow,17-04-2025 04:21,17-04-2025 01:25,Bangalore,17-07-2021,April,Active,Wallet,SESS0037,STN118,SESS0037,USR8721,2W,186.63,1426.99,176,186.63,18.136116,74.611849,2,15,2025
AC Slow,21-01-2025 10:26,21-01-2025 08:05,Bangalore,21-06-2021,January,Inactive,Wallet,SESS0159,STN157,SESS0159,USR9971,4W,18.82,213.73,141,18.82,17.51742,72.034137,2,3.3,2025
AC Fast,21-12-2025 13:56,21-12-2025 13:25,Pune,25-08-2021,December,Inactive,Net Banking,SESS0017,STN116,SESS0017,USR3132,Bus,282.62,2460.65,31,282.62,18.707098,77.951285,5,50,2025
AC Slow,16-04-2025 20:29,16-04-2025 18:02,Bangalore,23-08-2021,April,Inactive,Net Banking,SESS0297,STN135,SESS0297,USR6681,2W,99.4,506.21,147,99.4,18.244159,75.00692,5,3.3,2025
DC Fast,04-03-2025 04:27,04-03-2025 01:50,Bangalore,05-10-2022,March,Active,UPI,SESS0053,STN139,SESS0053,USR9820,Bus,34.07,321.04,157,34.07,18.218349,74.932914,3,120,2025
AC Slow,27-01-2025 15:59,27-01-2025 14:33,Hyderabad,04-07-2023,January,Active,UPI,SESS0202,STN184,SESS0202,USR4250,3W,192.96,1163.32,86,192.96,17.745305,77.8961,5,15,2025
AC Slow,06-03-2025 01:10,05-03-2025 23:30,Pune,18-05-2023,March,Inactive,Credit Card,SESS0276,STN138,SESS0276,USR6617,3W,259.71,1067.47,100,259.71,17.867195,75.578434,4,50,2025
AC Fast,05-06-2025 11:49,05-06-2025 09:17,Pune,25-11-2021,June,Active,Wallet,SESS0061,STN189,SESS0061,USR9149,2W,227.98,1506.36,152,227.98,17.163029,73.991825,3,3.3,2025
DC Fast,04-08-2025 13:45,04-08-2025 11:18,Hyderabad,18-08-2023,August,Active,Wallet,SESS0181,STN140,SESS0181,USR4573,2W,246.19,2320.25,147,246.19,17.607438,72.546434,5,7.4,2025
AC Slow,22-06-2025 20:56,22-06-2025 18:17,Pune,26-05-2023,June,Inactive,Wallet,SESS0173,STN147,SESS0173,USR4160,2W,299.32,2464.3,159,299.32,17.788044,72.559651,6,3.3,2025
AC Fast,10-04-2025 06:56,10-04-2025 04:59,Pune,25-08-2021,April,Inactive,Net Banking,SESS0017,STN116,SESS0017,USR3132,Bus,106.49,511.41,117,106.49,18.707098,77.951285,5,50,2025
DC Fast,25-07-2025 22:14,25-07-2025 20:08,Delhi,08-10-2021,July,Active,Wallet,SESS0268,STN144,SESS0268,USR1824,4W,299.7,2276.37,126,299.7,17.517309,74.00592,3,3.3,2025
AC Fast,27-11-2025 18:30,27-11-2025 16:48,Delhi,01-08-2022,November,Active,Wallet,SESS0139,STN140,SESS0139,USR7277,3W,284.8,3214.89,102,284.8,18.68715,74.766118,6,120,2025
DC Fast,14-03-2025 20:35,14-03-2025 18:12,Mumbai,14-08-2021,March,Inactive,Credit Card,SESS0058,STN152,SESS0058,USR3522,4W,87.12,470.23,143,87.12,18.746877,75.199157,3,7.4,2025
DC Fast,11-04-2025 19:44,11-04-2025 18:26,Delhi,05-11-2022,April,Inactive,Wallet,SESS0154,STN184,SESS0154,USR6732,2W,133.22,691.97,78,133.22,17.799457,76.333431,6,7.4,2025
DC Fast,16-02-2025 07:32,16-02-2025 06:33,Bangalore,25-02-2022,February,Inactive,Credit Card,SESS0020,STN179,SESS0020,USR7053,3W,183.16,1551.48,59,183.16,17.567198,76.989991,5,7.4,2025
AC Slow,22-09-2025 20:28,22-09-2025 19:01,Mumbai,07-05-2022,September,Active,UPI,SESS0027,STN122,SESS0027,USR5891,4W,260.86,2684.37,87,260.86,17.895457,75.299547,2,50,2025
DC Fast,02-03-2025 23:52,02-03-2025 21:39,Bangalore,06-02-2023,March,Active,Credit Card,SESS0103,STN194,SESS0103,USR8199,2W,214.4,868.39,133,214.4,17.496178,77.128327,5,7.4,2025
AC Slow,03-08-2025 07:59,03-08-2025 06:57,Pune,10-08-2023,August,Inactive,Net Banking,SESS0070,STN122,SESS0070,USR4266,Bus,133.21,1330.6,62,133.21,18.410964,75.075579,6,3.3,2025
DC Fast,01-10-2025 22:27,01-10-2025 20:17,Hyderabad,29-11-2022,October,Inactive,Credit Card,SESS0259,STN156,SESS0259,USR6016,Bus,261.75,2859.7,130,261.75,17.810511,75.476951,6,50,2025
AC Fast,29-05-2025 14:27,29-05-2025 11:37,Bangalore,18-05-2023,May,Inactive,Credit Card,SESS0113,STN173,SESS0113,USR9540,3W,61.59,284.44,170,61.59,18.232215,77.965677,3,50,2025
AC Fast,07-03-2025 11:34,07-03-2025 09:42,Pune,28-06-2022,March,Active,Wallet,SESS0271,STN153,SESS0271,USR7559,4W,258.64,2660.79,112,258.64,17.830854,76.84731,3,7.4,2025
DC Fast,17-07-2025 15:57,17-07-2025 13:59,Pune,13-06-2022,July,Active,Net Banking,SESS0281,STN111,SESS0281,USR5497,2W,170.1,1762.75,118,170.1,17.707493,77.221988,2,3.3,2025
AC Slow,22-01-2025 13:36,22-01-2025 11:47,Mumbai,28-06-2021,January,Inactive,UPI,SESS0038,STN134,SESS0038,USR1196,4W,156.81,669.81,109,156.81,17.993501,72.32463,4,3.3,2025
AC Slow,21-01-2025 17:39,21-01-2025 16:59,Bangalore,21-06-2021,January,Inactive,Wallet,SESS0159,STN157,SESS0159,USR9971,4W,219.04,1983.46,40,219.04,17.51742,72.034137,2,3.3,2025
DC Fast,03-05-2025 01:50,03-05-2025 00:20,Delhi,21-03-2023,May,Active,Credit Card,SESS0072,STN152,SESS0072,USR8737,Bus,60.69,470.25,90,60.69,18.882679,73.668223,5,7.4,2025
AC Fast,09-02-2025 12:57,09-02-2025 12:04,Pune,25-04-2022,February,Active,Wallet,SESS0197,STN178,SESS0197,USR4045,Bus,126.71,842.01,53,126.71,18.172253,75.165205,2,7.4,2025
DC Fast,28-10-2025 10:37,28-10-2025 08:53,Hyderabad,24-05-2023,October,Inactive,UPI,SESS0293,STN143,SESS0293,USR2191,3W,286.93,2704.75,104,286.93,18.265524,77.147255,2,7.4,2025
AC Slow,25-09-2025 18:09,25-09-2025 17:39,Hyderabad,24-08-2022,September,Inactive,Credit Card,SESS0277,STN142,SESS0277,USR6015,3W,241.42,1077.14,30,241.42,18.967836,74.189023,3,15,2025
AC Fast,13-01-2025 17:31,13-01-2025 16:17,Mumbai,16-01-2022,January,Inactive,Net Banking,SESS0090,STN136,SESS0090,USR9655,4W,18.86,101.01,74,18.86,18.046541,72.635333,6,120,2025
AC Fast,29-01-2025 16:09,29-01-2025 14:57,Mumbai,05-12-2021,January,Active,UPI,SESS0092,STN191,SESS0092,USR3808,4W,207.01,961.16,72,207.01,18.875684,76.420436,6,7.4,2025
DC Fast,11-10-2025 23:45,11-10-2025 21:56,Pune,10-07-2021,October,Active,Credit Card,SESS0265,STN129,SESS0265,USR5971,4W,63.01,706.07,109,63.01,18.156691,72.108162,2,50,2025
DC Fast,29-07-2025 23:09,29-07-2025 20:22,Bangalore,14-05-2021,July,Active,Wallet,SESS0266,STN152,SESS0266,USR1800,2W,44.49,311.79,167,44.49,17.214299,77.298106,6,3.3,2025
AC Fast,09-06-2025 09:40,09-06-2025 07:58,Delhi,15-04-2023,June,Inactive,Net Banking,SESS0006,STN172,SESS0006,USR5899,4W,49.87,435.7,102,49.87,17.132334,72.480192,6,3.3,2025
DC Fast,24-10-2025 12:30,24-10-2025 11:36,Bangalore,20-01-2022,October,Active,Net Banking,SESS0241,STN146,SESS0241,USR8147,Bus,192.5,2279.2,54,192.5,17.115348,77.246854,4,120,2025
AC Fast,21-09-2025 15:32,21-09-2025 12:51,Delhi,30-01-2023,September,Inactive,Credit Card,SESS0087,STN135,SESS0087,USR5072,Bus,216.1,1108.22,161,216.1,17.061008,76.805597,2,120,2025
DC Fast,02-07-2025 22:50,02-07-2025 20:04,Delhi,11-06-2023,July,Inactive,Wallet,SESS0244,STN142,SESS0244,USR8318,4W,37.62,193.9,166,37.62,17.013839,77.606042,2,7.4,2025
AC Fast,21-08-2025 09:13,21-08-2025 06:14,Mumbai,15-08-2021,August,Inactive,Wallet,SESS0137,STN125,SESS0137,USR3677,Bus,267.17,2184.05,179,267.17,17.300964,75.200108,4,7.4,2025
AC Fast,09-04-2025 20:39,09-04-2025 17:40,Hyderabad,15-08-2021,April,Inactive,Wallet,SESS0059,STN117,SESS0059,USR6621,3W,162.6,862.48,179,162.6,18.940129,76.535873,4,7.4,2025
DC Fast,20-02-2025 21:22,20-02-2025 19:16,Hyderabad,07-06-2022,February,Inactive,UPI,SESS0065,STN114,SESS0065,USR3939,2W,244.34,2158.2,126,244.34,18.375783,75.112265,4,15,2025
AC Fast,15-10-2025 13:23,15-10-2025 12:47,Delhi,29-08-2023,October,Active,Net Banking,SESS0278,STN183,SESS0278,USR1987,3W,27.8,202.23,36,27.8,17.154434,73.274917,4,7.4,2025
AC Fast,20-03-2025 12:15,20-03-2025 10:08,Bangalore,17-06-2022,March,Inactive,UPI,SESS0015,STN126,SESS0015,USR9202,Bus,25.38,266.3,127,25.38,18.433638,75.816153,3,7.4,2025
AC Slow,16-02-2025 08:04,16-02-2025 07:17,Mumbai,14-01-2022,February,Active,Wallet,SESS0082,STN151,SESS0082,USR6233,4W,146.53,844.66,47,146.53,17.280733,74.794692,4,15,2025
AC Slow,05-08-2025 09:49,05-08-2025 07:35,Pune,17-07-2022,August,Inactive,Net Banking,SESS0138,STN135,SESS0138,USR1629,3W,165.62,1217.73,134,165.62,17.098494,73.872654,3,3.3,2025
AC Slow,28-05-2025 01:09,27-05-2025 23:38,Mumbai,18-02-2022,May,Inactive,UPI,SESS0107,STN154,SESS0107,USR2219,Bus,153.29,776.37,91,153.29,18.319199,75.360846,2,120,2025
AC Slow,27-11-2025 09:20,27-11-2025 07:55,Hyderabad,21-05-2023,November,Active,Credit Card,SESS0096,STN185,SESS0096,USR5992,2W,73.28,685.73,85,73.28,17.900295,73.290872,3,50,2025
DC Fast,22-10-2025 21:57,22-10-2025 19:08,Pune,17-05-2023,October,Active,UPI,SESS0238,STN121,SESS0238,USR8998,2W,265.26,1839.62,169,265.26,18.041737,74.335423,6,120,2025
AC Fast,03-02-2025 00:39,02-02-2025 21:57,Hyderabad,17-03-2023,February,Inactive,UPI,SESS0274,STN180,SESS0274,USR5416,4W,124.24,570.12,162,124.24,17.36898,73.782914,3,3.3,2025
AC Fast,21-07-2025 04:24,21-07-2025 01:35,Pune,25-04-2022,July,Active,Wallet,SESS0197,STN178,SESS0197,USR4045,Bus,297.92,2367.94,169,297.92,18.172253,75.165205,2,7.4,2025
DC Fast,20-07-2025 07:06,20-07-2025 05:14,Hyderabad,03-04-2023,July,Active,Wallet,SESS0089,STN173,SESS0089,USR8204,4W,245.74,1445.43,112,245.74,18.355249,72.349854,2,50,2025
DC Fast,08-09-2025 06:47,08-09-2025 04:14,Hyderabad,24-05-2023,September,Inactive,UPI,SESS0293,STN143,SESS0293,USR2191,3W,103.14,733.54,153,103.14,18.265524,77.147255,2,7.4,2025
AC Fast,21-10-2025 08:13,21-10-2025 06:42,Pune,28-05-2021,October,Inactive,Net Banking,SESS0251,STN199,SESS0251,USR5035,4W,260.24,1552.33,91,260.24,18.267605,75.136556,6,120,2025
DC Fast,23-08-2025 16:52,23-08-2025 14:40,Hyderabad,02-01-2021,August,Active,Credit Card,SESS0094,STN170,SESS0094,USR4434,Bus,204.82,2362.49,132,204.82,18.744434,73.709459,6,7.4,2025
AC Fast,22-02-2025 14:25,22-02-2025 12:19,Mumbai,16-01-2022,February,Inactive,Net Banking,SESS0090,STN136,SESS0090,USR9655,4W,97.55,503.43,126,97.55,18.046541,72.635333,6,120,2025
DC Fast,11-08-2025 15:50,11-08-2025 13:54,Delhi,22-04-2023,August,Active,Net Banking,SESS0166,STN198,SESS0166,USR8341,4W,38.48,266.66,116,38.48,18.19665,75.033952,6,120,2025
AC Slow,24-12-2025 02:49,24-12-2025 01:55,Bangalore,08-05-2021,December,Active,Credit Card,SESS0300,STN157,SESS0300,USR5643,2W,246.8,2634.29,54,246.8,18.683427,77.02748,6,120,2025
DC Fast,23-11-2025 13:06,23-11-2025 12:09,Hyderabad,27-01-2022,November,Active,Credit Card,SESS0182,STN156,SESS0182,USR2093,3W,54.86,414.98,57,54.86,18.435727,72.607434,2,120,2025
AC Fast,23-02-2025 13:59,23-02-2025 13:02,Pune,30-05-2023,February,Active,Net Banking,SESS0201,STN111,SESS0201,USR8809,3W,147.04,1253.12,57,147.04,18.631307,77.285135,2,3.3,2025
AC Slow,04-12-2025 23:55,04-12-2025 22:30,Hyderabad,11-01-2021,December,Inactive,UPI,SESS0290,STN116,SESS0290,USR6032,2W,78.19,684.09,85,78.19,17.504895,73.637198,5,50,2025
AC Slow,08-04-2025 14:42,08-04-2025 13:30,Delhi,07-06-2021,April,Inactive,Wallet,SESS0179,STN118,SESS0179,USR7868,2W,280.01,1684.35,72,280.01,18.141063,77.2598,2,3.3,2025
AC Slow,27-09-2025 22:59,27-09-2025 21:15,Pune,16-01-2023,September,Active,UPI,SESS0109,STN102,SESS0109,USR2165,2W,100.2,1137.89,104,100.2,17.321103,73.451617,2,3.3,2025
AC Fast,26-07-2025 10:15,26-07-2025 07:53,Hyderabad,15-08-2021,July,Inactive,Wallet,SESS0059,STN117,SESS0059,USR6621,3W,244.25,2722.01,142,244.25,18.940129,76.535873,4,7.4,2025
AC Fast,03-10-2025 01:03,02-10-2025 23:44,Mumbai,15-03-2022,October,Inactive,Wallet,SESS0184,STN135,SESS0184,USR6447,4W,194.99,1450.99,79,194.99,18.579064,77.456856,6,120,2025
DC Fast,24-05-2025 00:19,23-05-2025 22:08,Pune,11-09-2023,May,Active,Net Banking,SESS0230,STN102,SESS0230,USR1106,3W,105.01,1074.16,131,105.01,18.471909,77.23286,4,7.4,2025
DC Fast,17-09-2025 12:13,17-09-2025 09:57,Mumbai,07-08-2023,September,Active,Credit Card,SESS0162,STN103,SESS0162,USR7325,2W,225.13,2226.28,136,225.13,18.541421,76.914501,2,120,2025
AC Fast,03-09-2025 14:58,03-09-2025 12:04,Mumbai,05-12-2021,September,Active,UPI,SESS0092,STN191,SESS0092,USR3808,4W,276.75,2110.67,174,276.75,18.875684,76.420436,6,7.4,2025
AC Slow,23-08-2025 16:35,23-08-2025 15:30,Hyderabad,28-01-2021,August,Inactive,Wallet,SESS0223,STN177,SESS0223,USR3816,Bus,186.87,811.59,65,186.87,17.941537,75.090467,6,15,2025
DC Fast,03-01-2025 17:12,03-01-2025 16:27,Hyderabad,26-05-2023,January,Active,Credit Card,SESS0275,STN109,SESS0275,USR8866,3W,143.51,852.99,45,143.51,17.174163,77.52004,5,120,2025
AC Slow,03-08-2025 09:16,03-08-2025 08:10,Bangalore,26-07-2023,August,Active,Wallet,SESS0195,STN153,SESS0195,USR8584,2W,38.06,202.24,66,38.06,17.310386,76.107722,4,15,2025
AC Fast,16-12-2025 22:23,16-12-2025 21:49,Bangalore,18-05-2023,December,Inactive,Credit Card,SESS0113,STN173,SESS0113,USR9540,3W,244.23,2898.95,34,244.23,18.232215,77.965677,3,50,2025
AC Fast,10-07-2025 02:43,10-07-2025 01:29,Bangalore,17-06-2022,July,Inactive,UPI,SESS0015,STN126,SESS0015,USR9202,Bus,263.8,1923.89,74,263.8,18.433638,75.816153,3,7.4,2025
DC Fast,17-01-2025 17:46,17-01-2025 16:55,Pune,14-04-2021,January,Inactive,Net Banking,SESS0273,STN134,SESS0273,USR9462,2W,127.26,1198.52,51,127.26,17.613109,74.685098,2,50,2025
AC Slow,17-08-2025 14:51,17-08-2025 13:41,Hyderabad,11-05-2021,August,Inactive,Net Banking,SESS0047,STN112,SESS0047,USR6240,3W,239.5,2585.76,70,239.5,17.55011,75.100619,3,3.3,2025
AC Fast,20-07-2025 20:13,20-07-2025 17:16,Hyderabad,09-01-2021,July,Inactive,Wallet,SESS0078,STN137,SESS0078,USR1928,2W,44.76,480.32,177,44.76,18.804266,75.493373,2,120,2025
AC Slow,10-08-2025 13:54,10-08-2025 11:01,Mumbai,24-04-2023,August,Active,Net Banking,SESS0176,STN125,SESS0176,USR2511,4W,226.21,1299.15,173,226.21,17.850561,75.270559,6,120,2025
DC Fast,01-03-2025 18:33,01-03-2025 17:20,Delhi,18-09-2023,March,Active,Wallet,SESS0196,STN191,SESS0196,USR3840,4W,253.25,2972.73,73,253.25,17.029081,72.283715,2,50,2025
DC Fast,09-02-2025 01:08,09-02-2025 00:34,Hyderabad,08-09-2022,February,Inactive,Credit Card,SESS0204,STN163,SESS0204,USR5547,4W,163.7,1273.37,34,163.7,18.220519,76.243745,3,3.3,2025
AC Fast,19-02-2025 22:44,19-02-2025 22:11,Hyderabad,15-08-2021,February,Inactive,Wallet,SESS0059,STN117,SESS0059,USR6621,3W,182.44,1623.62,33,182.44,18.940129,76.535873,4,7.4,2025
AC Slow,09-05-2025 21:33,09-05-2025 20:14,Bangalore,23-08-2021,May,Inactive,Net Banking,SESS0297,STN135,SESS0297,USR6681,2W,226.89,1468.11,79,226.89,18.244159,75.00692,5,3.3,2025
DC Fast,13-05-2025 17:50,13-05-2025 14:56,Bangalore,15-04-2023,May,Active,UPI,SESS0149,STN176,SESS0149,USR6370,3W,214.88,2463.88,174,214.88,18.387652,73.9925,4,7.4,2025
AC Slow,15-10-2025 05:22,15-10-2025 03:08,Pune,28-12-2022,October,Inactive,Credit Card,SESS0165,STN194,SESS0165,USR7951,3W,5.52,52.29,134,5.52,17.351858,76.623863,4,50,2025
DC Fast,19-08-2025 14:46,19-08-2025 13:34,Mumbai,31-12-2022,August,Inactive,UPI,SESS0198,STN155,SESS0198,USR1714,4W,16.1,145.51,72,16.1,17.247183,72.83256,5,3.3,2025
DC Fast,18-02-2025 16:31,18-02-2025 15:21,Hyderabad,14-05-2022,February,Inactive,UPI,SESS0055,STN146,SESS0055,USR3056,2W,134.84,597.12,70,134.84,18.276125,73.716525,2,3.3,2025
AC Slow,11-06-2025 08:14,11-06-2025 05:39,Hyderabad,04-06-2023,June,Active,Wallet,SESS0016,STN196,SESS0016,USR9821,4W,122.45,579.85,155,122.45,18.63076,77.089782,6,15,2025
DC Fast,28-09-2025 00:52,27-09-2025 23:19,Delhi,21-03-2023,September,Active,Credit Card,SESS0072,STN152,SESS0072,USR8737,Bus,254.44,2056.79,93,254.44,18.882679,73.668223,5,7.4,2025
AC Slow,28-08-2025 01:27,27-08-2025 22:49,Pune,30-07-2023,August,Inactive,Wallet,SESS0124,STN106,SESS0124,USR2205,Bus,22.51,215.33,158,22.51,17.440362,74.920821,6,15,2025
AC Slow,27-10-2025 19:20,27-10-2025 16:53,Bangalore,04-12-2021,October,Inactive,Credit Card,SESS0194,STN129,SESS0194,USR2094,4W,69.97,379.47,147,69.97,17.245064,73.596145,4,7.4,2025
DC Fast,17-01-2025 00:19,16-01-2025 22:20,Pune,13-06-2022,January,Active,Net Banking,SESS0281,STN111,SESS0281,USR5497,2W,17.17,203.32,119,17.17,17.707493,77.221988,2,3.3,2025
DC Fast,20-09-2025 21:17,20-09-2025 18:52,Hyderabad,02-01-2021,September,Active,Credit Card,SESS0094,STN170,SESS0094,USR4434,Bus,201.95,1551.21,145,201.95,18.744434,73.709459,6,7.4,2025
AC Slow,23-12-2025 01:31,22-12-2025 22:46,Mumbai,06-01-2022,December,Active,Wallet,SESS0158,STN169,SESS0158,USR7723,4W,125.29,1491.13,165,125.29,18.026879,77.883503,4,7.4,2025
AC Fast,20-11-2025 23:40,20-11-2025 22:50,Bangalore,29-04-2022,November,Active,Net Banking,SESS0199,STN188,SESS0199,USR4356,2W,8.76,88.3,50,8.76,18.566942,72.252271,3,15,2025
AC Slow,05-01-2025 18:43,05-01-2025 17:52,Delhi,26-09-2023,January,Active,Wallet,SESS0086,STN112,SESS0086,USR9276,Bus,183.81,1994.87,51,183.81,18.095416,76.83059,5,7.4,2025
AC Slow,09-03-2025 04:57,09-03-2025 02:53,Pune,26-05-2023,March,Inactive,Wallet,SESS0173,STN147,SESS0173,USR4160,2W,38.69,238.31,124,38.69,17.788044,72.559651,6,3.3,2025
AC Slow,17-12-2025 00:36,16-12-2025 23:29,Hyderabad,07-05-2021,December,Inactive,Net Banking,SESS0163,STN142,SESS0163,USR1295,Bus,195.07,1647.61,67,195.07,17.067923,76.063057,4,3.3,2025
DC Fast,24-05-2025 02:10,23-05-2025 23:57,Delhi,09-09-2021,May,Inactive,UPI,SESS0091,STN198,SESS0091,USR4602,4W,8.32,47.65,133,8.32,18.423421,74.342228,6,15,2025
DC Fast,07-11-2025 14:41,07-11-2025 12:41,Mumbai,14-01-2021,November,Active,Wallet,SESS0102,STN148,SESS0102,USR1163,3W,176.7,764.14,120,176.7,18.977299,72.150181,2,120,2025
DC Fast,11-12-2025 23:07,11-12-2025 20:55,Mumbai,06-12-2021,December,Active,Credit Card,SESS0291,STN135,SESS0291,USR9242,2W,212.35,2094.06,132,212.35,17.683592,72.369444,5,120,2025
AC Fast,21-05-2025 11:31,21-05-2025 09:01,Hyderabad,02-01-2022,May,Active,Net Banking,SESS0001,STN197,SESS0001,USR9020,4W,243.34,1696.83,150,243.34,18.04427,76.567364,4,120,2025
AC Fast,12-05-2025 14:55,12-05-2025 14:20,Mumbai,23-08-2022,May,Active,Credit Card,SESS0279,STN180,SESS0279,USR1693,2W,208.02,1207.84,35,208.02,18.5395,74.892705,4,120,2025
AC Fast,07-02-2025 05:39,07-02-2025 04:22,Bangalore,13-07-2022,February,Active,Credit Card,SESS0029,STN189,SESS0029,USR6808,3W,149.06,1090.54,77,149.06,17.351385,76.231562,5,7.4,2025
AC Fast,25-10-2025 14:21,25-10-2025 13:46,Hyderabad,16-03-2021,October,Active,Credit Card,SESS0049,STN186,SESS0049,USR1580,3W,69.32,643.36,35,69.32,17.399416,75.458083,3,3.3,2025
AC Fast,22-09-2025 10:55,22-09-2025 10:15,Hyderabad,22-07-2022,September,Active,Credit Card,SESS0069,STN167,SESS0069,USR5063,Bus,270.7,2046.67,40,270.7,17.132885,76.122406,4,15,2025
AC Fast,18-04-2025 06:50,18-04-2025 06:07,Bangalore,29-04-2022,April,Active,Net Banking,SESS0199,STN188,SESS0199,USR4356,2W,230.24,2746.62,43,230.24,18.566942,72.252271,3,15,2025
AC Fast,09-06-2025 18:44,09-06-2025 16:58,Bangalore,16-12-2021,June,Active,Net Banking,SESS0002,STN152,SESS0002,USR5218,3W,159.56,1278.97,106,159.56,17.536351,74.33164,2,15,2025
AC Fast,30-08-2025 05:40,30-08-2025 03:08,Bangalore,16-12-2021,August,Active,Net Banking,SESS0002,STN152,SESS0002,USR5218,3W,41.86,299.99,152,41.86,17.536351,74.33164,2,15,2025
AC Fast,17-08-2025 20:16,17-08-2025 19:36,Pune,30-05-2023,August,Active,Net Banking,SESS0201,STN111,SESS0201,USR8809,3W,68.35,778.67,40,68.35,18.631307,77.285135,2,3.3,2025
AC Fast,02-05-2025 14:38,02-05-2025 13:03,Bangalore,17-02-2021,May,Active,Net Banking,SESS0108,STN110,SESS0108,USR6248,4W,262.01,1660.57,95,262.01,17.505425,77.577252,6,50,2025
AC Fast,06-08-2025 07:59,06-08-2025 07:27,Delhi,03-07-2021,August,Active,Net Banking,SESS0175,STN174,SESS0175,USR1065,Bus,228.94,2390.52,32,228.94,18.335017,75.932155,3,50,2025
AC Fast,11-10-2025 02:37,11-10-2025 00:49,Delhi,03-07-2021,October,Active,Net Banking,SESS0175,STN174,SESS0175,USR1065,Bus,50.43,249.03,108,50.43,18.335017,75.932155,3,50,2025
AC Fast,01-04-2025 05:41,01-04-2025 03:03,Delhi,03-07-2021,April,Active,Net Banking,SESS0175,STN174,SESS0175,USR1065,Bus,271.06,2252.51,158,271.06,18.335017,75.932155,3,50,2025
AC Fast,25-02-2025 05:02,25-02-2025 04:15,Pune,19-04-2021,February,Active,Net Banking,SESS0155,STN169,SESS0155,USR2670,Bus,246.69,2834.57,47,246.69,18.384768,72.834393,2,3.3,2025
AC Fast,30-03-2025 09:46,30-03-2025 09:07,Delhi,12-06-2023,March,Active,UPI,SESS0283,STN195,SESS0283,USR2335,4W,153.32,1474.83,39,153.32,17.623358,72.244698,6,120,2025
AC Fast,25-12-2025 04:49,25-12-2025 03:45,Delhi,12-06-2023,December,Active,UPI,SESS0283,STN195,SESS0283,USR2335,4W,52.96,591.44,64,52.96,17.623358,72.244698,6,120,2025
AC Fast,20-03-2025 01:45,19-03-2025 23:31,Pune,11-05-2023,March,Active,UPI,SESS0167,STN130,SESS0167,USR5830,4W,255.3,1996.32,134,255.3,17.72098,77.98651,3,3.3,2025
AC Fast,05-07-2025 14:29,05-07-2025 11:55,Hyderabad,22-03-2022,July,Active,Wallet,SESS0217,STN116,SESS0217,USR3636,2W,189.67,1085,154,189.67,17.540908,72.89611,2,15,2025
AC Fast,10-09-2025 11:41,10-09-2025 09:43,Pune,12-09-2021,September,Active,Wallet,SESS0050,STN174,SESS0050,USR1186,2W,194.94,2141.06,118,194.94,17.337378,76.679881,5,50,2025
AC Fast,12-04-2025 00:23,11-04-2025 21:54,Bangalore,04-09-2021,April,Active,Wallet,SESS0142,STN114,SESS0142,USR3705,3W,248.91,1539.93,149,248.91,18.25438,73.939095,5,7.4,2025
AC Fast,29-05-2025 06:38,29-05-2025 06:08,Pune,28-06-2022,May,Active,Wallet,SESS0271,STN153,SESS0271,USR7559,4W,195.08,1025.41,30,195.08,17.830854,76.84731,3,7.4,2025
AC Fast,26-12-2025 23:47,26-12-2025 22:53,Bangalore,16-01-2023,December,Active,Wallet,SESS0012,STN139,SESS0012,USR2274,Bus,238.55,1985.34,54,238.55,18.875948,75.827114,5,50,2025
